Date,Max(C1),Min(C2),Min(C4),IntegTY(M1),Min(M2)
2024/06/27  16:27:56,5.16,-0.05,-0.05,-0.00490083,-5.26
2024/06/27  16:27:59,5.8,-0.04,-0.05,0.00185096,-5.9
2024/06/27  16:28:03,5.24,-0.05,-0.05,0.00783506,-4.655
2024/06/27  16:28:06,5.62,-0.04,-0.05,0.0136798,-3.455
2024/06/27  16:28:10,5.88,-0.04,-0.04,0.0178308,-0.52
2024/06/27  16:28:13,5.24,-0.04,-0.04,0.0152213,-1.775
2024/06/27  16:28:17,5.08,-0.03,-0.05,0.0105632,-3.755
2024/06/27  16:28:21,5.88,-0.04,-0.05,0.00409353,-5.965
2024/06/27  16:28:24,4.84,-0.03,-0.03,-0.0024743,-4.905
2024/06/27  16:28:31,5.51,-0.05,-0.05,-0.0144677,-5.71
2024/06/27  16:28:35,7,-0.05,-0.04,-0.0215483,-7.145
2024/06/27  16:28:40,5.96,-0.04,-0.05,-0.0155454,-6.085
2024/06/27  16:28:43,7.72,-0.05,-0.05,-0.0120667,-7.785
2024/06/27  16:28:46,5.08,-0.05,-0.05,-0.00217563,-5.125
2024/06/27  16:28:57,7.16,-0.04,-0.05,-0.0224701,-7.23
2024/06/27  16:29:00,7.16,-0.05,-0.05,0.0195242,-3.565
2024/06/27  16:29:03,7.14,-0.04,-0.05,0.00467336,-6.94
2024/06/27  16:29:12,4.84,-0.04,-0.05,-0.0108426,-4.96
2024/06/27  16:29:16,5.08,-0.05,-0.05,-0.0148934,-5.125
2024/06/27  16:29:20,4.68,-0.05,-0.05,-0.0143625,-4.715
2024/06/27  16:29:23,5.26,-0.05,-0.05,-0.0132707,-5.335
2024/06/27  16:29:30,4.68,-0.05,-0.05,-0.000904915,-4.74
2024/06/27  16:29:35,4.84,-0.05,-0.05,0.00838267,-3.975
2024/06/27  16:29:38,5.8,-0.05,-0.05,0.0148793,-3.28
2024/06/27  16:29:48,6.28,-0.05,-0.05,-0.0194383,-6.435
