Date,Umax,Umin,Imax,Imin,Pmax,Pmin
2024/05/14 12:05:27,1030E-03,-30E-03,1250E-03,-1230E-03,1263E-03,-1233E-03
2024/05/14 12:05:30,1030E-03,-30E-03,1250E-03,-1230E-03,1260E-03,-1225E-03
