Date,Max(C1),Min(C2),Min(C4),IntegTY(M1),Min(M2)
2024/06/27  15:35:04,6.12,-0.05,-0.03,0.00216902,-6.21
2024/06/27  15:35:06,6.12,-0.05,-0.03,0.0163542,-3.175
2024/06/27  15:35:10,6.12,-0.05,-0.03,-0.0123779,-6.18
2024/06/27  15:35:11,6.12,-0.05,-0.03,-0.017018,-6.18
2024/06/27  15:35:14,6.12,-0.05,-0.03,-0.0183739,-6.18
2024/06/27  15:35:16,6.12,-0.05,-0.03,-0.00735125,-6.18
2024/06/27  15:35:20,6.11,-0.05,-0.03,-0.0109151,-6.175
2024/06/27  15:35:25,6.12,-0.05,-0.03,-0.0190581,-6.18
2024/06/27  15:35:28,6.12,-0.05,-0.03,-0.0189289,-6.19
2024/06/27  15:35:31,6.12,-0.05,-0.03,-0.0116326,-6.18
2024/06/27  15:35:33,6.12,-0.04,-0.03,-0.00135956,-6.29
2024/06/27  15:35:35,6.12,-0.05,-0.03,-0.0186661,-6.18
2024/06/27  15:36:16,6.04,-0.05,-0.03,0.00332138,-6.075
2024/06/27  15:39:25,6.04,-0.05,-0.03,-0.0189756,-6.13
2024/06/27  15:39:28,6.04,-0.05,-0.03,0.01859,-0.78
2024/06/27  15:39:33,6.04,-0.05,-0.03,-0.0132013,-6.1
2024/06/27  15:39:41,6.84,-0.05,-0.03,-0.00901105,-6.93
2024/06/27  15:39:46,6.36,-0.05,-0.03,-0.00614263,-6.425
2024/06/27  15:39:49,9.02,-0.05,-0.04,0.0279564,-1.4
2024/06/27  15:39:54,6.44,-0.05,-0.03,-0.00631189,-6.505
2024/06/27  15:41:18,6.43,-0.05,-0.03,0.0141915,-4.555
2024/06/27  15:41:21,6.41,-0.05,-0.03,0.0160488,-3.9
2024/06/27  15:41:25,7.64,-0.05,-0.03,0.0200798,-4.145
2024/06/27  15:41:31,7.64,-0.05,-0.03,0.0236683,-0.565
2024/06/27  15:41:35,7.64,-0.05,-0.03,-0.0226671,-7.775
2024/06/27  15:43:46,7.16,-0.05,-0.03,0.0171822,-4.615
2024/06/27  15:43:49,6.36,-0.05,-0.05,0.0016752,-6.475
2024/06/27  15:43:51,4.91,-0.05,-0.03,0.0129809,-2.435
2024/06/27  15:44:01,10.2,-0.05,-0.03,0.0310338,-3.4
2024/06/27  15:44:06,7.56,-0.05,-0.05,0.00713381,-7.35
2024/06/27  15:44:10,5.68,-0.05,-0.03,-0.0164694,-5.775
2024/06/27  15:45:00,5.7,-0.05,-0.04,0.0107088,-4.545
2024/06/27  15:45:02,6.2,-0.05,-0.03,0.00805423,-5.765
2024/06/27  15:45:09,6.2,-0.05,-0.04,-0.007474,-6.42
2024/06/27  15:45:13,6.36,-0.05,-0.03,0.0095074,-5.625
2024/06/27  15:45:16,6.36,-0.05,-0.03,-0.00576418,-6.485
2024/06/27  15:50:15,6.36,-0.05,-0.04,0.0104082,-5.485
2024/06/27  15:50:18,6.35,-0.05,-0.03,0.0112733,-3.665
2024/06/27  15:50:20,6.36,-0.05,-0.05,-0.0187514,-6.5
2024/06/27  15:50:23,6.36,-0.05,-0.04,0.0137829,-4.565
2024/06/27  15:50:26,6.36,-0.05,-0.04,0.00478441,-6.295
2024/06/27  15:50:28,6.28,-0.05,-0.03,-0.0157385,-6.405
2024/06/27  15:50:31,6.28,-0.05,-0.04,0.013957,-4.465
2024/06/27  15:50:36,6.12,-0.05,-0.03,-0.0137583,-6.245
2024/06/27  15:50:43,6.12,-0.05,-0.03,-0.0170326,-6.18
