Date,Max(C2),Min(C3),Min(C4),IntegTY(M1),Min(M2)
2024/05/23	12:37:17,1.1,-1.56,-0.03,0.00243607,-0.125
2024/05/23	12:38:19,1.1,-1.55,-0.04,0.00244046,-0.128
2024/05/23	12:39:04,1.1,-1.55,-0.03,0.00242878,-0.123
2024/05/23	12:39:12,1.1,-1.61,-0.03,0.00243748,-0.123
2024/05/23	12:39:15,1.1,-1.61,-0.03,0.00244621,-0.128
2024/05/23	12:39:17,1.1,-1.61,-0.03,0.00242615,-0.143
