Date,Min(C2),Max(C3)
2024/05/23  12:43:24,-0.1,1.67
2024/05/23  12:43:30,-0.14,1.67
2024/05/23  12:43:34,-0.1,2.15
2024/05/23  12:43:37,-0.1,2.15
