Date,Max(C1),Min(C2),Min(C4),IntegTY(M1),Min(M2)
2024/06/27  16:33:27,6.3,-0.04,-0.05,-0.00341803,-6.525
2024/06/27  16:33:29,6.28,-0.03,-0.04,-0.0158021,-6.42
2024/06/27  16:33:31,6.28,-0.04,-0.05,-0.0180766,-6.425
2024/06/27  16:33:33,6.28,-0.05,-0.04,-0.0113472,-6.43
2024/06/27  16:33:36,6.28,-0.04,-0.05,0.0186343,-2
2024/06/27  16:33:38,6.28,-0.03,-0.04,0.00283525,-6.255
2024/06/27  16:33:40,6.28,-0.03,-0.05,0.0128274,-4.84
2024/06/27  16:33:42,6.28,-0.04,-0.05,-0.0154067,-6.415
2024/06/27  16:33:44,6.28,-0.04,-0.05,0.0172159,-3.105
2024/06/27  16:33:47,6.28,-0.03,-0.04,-0.00272698,-6.54
2024/06/27  16:33:49,6.28,-0.04,-0.05,-0.014441,-6.485
2024/06/27  16:33:51,6.28,-0.04,-0.05,-0.0174821,-6.475
2024/06/27  16:33:53,6.28,-0.04,-0.03,-0.0195952,-6.525
2024/06/27  16:33:56,6.28,-0.05,-0.05,-0.0144818,-6.44
2024/06/27  16:33:58,6.28,-0.05,-0.05,-0.00241547,-6.415
2024/06/27  16:34:00,6.28,-0.03,-0.05,-0.0162224,-6.445
2024/06/27  16:34:02,6.28,-0.05,-0.05,-0.0109824,-6.46
2024/06/27  16:34:04,6.28,-0.05,-0.05,0.00575156,-6.115
2024/06/27  16:34:06,6.28,-0.03,-0.04,-0.0183328,-6.45
2024/06/27  16:34:08,6.28,-0.05,-0.03,0.00990359,-5.59
2024/06/27  16:34:10,6.28,-0.03,-0.05,-0.0136657,-6.425
2024/06/27  16:34:12,6.28,-0.05,-0.05,0.0121287,-5.03
2024/06/27  16:34:14,6.28,-0.05,-0.05,-0.0198649,-6.43
2024/06/27  16:34:17,6.28,-0.03,-0.04,0.00328222,-6.39
2024/06/27  16:34:19,6.28,-0.03,-0.05,0.0181464,-2.515
2024/06/27  16:34:21,6.28,-0.05,-0.05,0.0170126,-3.235
2024/06/27  16:34:23,6.28,-0.03,-0.05,-0.0199179,-6.425
2024/06/27  16:34:26,6.28,-0.05,-0.04,0.0194239,-0.845
2024/06/27  16:34:28,6.28,-0.04,-0.05,0.0191371,-1.42
2024/06/27  16:34:30,6.28,-0.04,-0.05,0.00772761,-5.96
2024/06/27  16:34:33,6.28,-0.04,-0.05,-0.0188883,-6.475
2024/06/27  16:34:35,6.28,-0.03,-0.05,-0.0198646,-6.415
2024/06/27  16:34:37,6.28,-0.05,-0.05,-0.012159,-6.45
2024/06/27  16:35:11,6.28,-0.04,-0.05,-0.0179311,-6.45
2024/06/27  16:35:13,6.28,-0.05,-0.05,-0.0169866,-6.425
2024/06/27  16:35:15,6.28,-0.05,-0.05,0.0195914,-0.395
2024/06/27  16:35:17,6.28,-0.05,-0.05,0.0192776,-1.17
2024/06/27  16:35:42,6.28,-0.03,-0.05,-0.016653,-6.49
2024/06/27  16:35:45,6.28,-0.05,-0.05,0.0125629,-4.925
2024/06/27  16:35:48,6.28,-0.03,-0.05,0.0106404,-5.36
2024/06/27  16:35:50,6.28,-0.05,-0.05,0.0195859,-0.28
